Continents,Migrant Stock,Year
Africa,15689666,1990
Asia,48209949,1990
Europe,49608225,1990
South America,7135971,1990
North America,27610408,1990
Oceania,4731938,1990
Africa,16357077,1995
Asia,46418044,1995
Europe,53489827,1995
South America,6661553,1995
North America,33340948,1995
Oceania,5022527,1995
Africa,15051677,2000
Asia,49066986,2000
Europe,56858793,2000
South America,6539738,2000
North America,40351710,2000
Oceania,5361681,2000
Africa,16040087,2005
Asia,53249787,2005
Europe,63585731,2005
South America,7184113,2005
North America,45363089,2005
Oceania,6024021,2005
Africa,17806677,2010
Asia,66123640,2010
Europe,70627160,2010
South America,8326588,2010
North America,50970524,2010
Oceania,7128598,2010
Africa,22860792,2015
Asia,77191249,2015
Europe,74759083,2015
South America,9441503,2015
North America,55633741,2015
Oceania,8072276,2015
Africa,25389464,2020
Asia,85618502,2020
Europe,86706068,2020
South America,14794623,2020
North America,58708795,2020
Oceania,9380653,2020
